identity,attribute,region_stereo,region_nonstereo,region_unsure,NA_stereo,NA_nonstereo,NA_unsure,Annotation1,Annotation2,Annotation3,mean offensiveness_score
Zimbabwean,terrorist,2,1,0,2,1,0,4,4,4,4
Zimbabwean,rapist,2,1,0,1,2,0,4,4,4,4
Zimbabwean,criminal,2,1,0,1,2,0,4,4,4,4
Yemeni,terrorist,2,1,0,2,1,0,4,4,4,4
Yemeni,criminal,0,3,0,2,1,0,4,4,4,4
Yemeni,rapist,0,3,0,1,2,0,4,4,4,4
Welsh,sheep fucker,2,1,0,2,1,0,4,4,4,4
Vietnamese,criminal,2,1,0,0,3,0,4,4,4,4
Vietnamese,killer,1,2,0,2,1,0,4,4,4,4
Ugandan,murderous,2,1,0,1,2,0,4,4,4,4
Tunisian,criminal,4,2,0,0,6,0,4,4,4,4
Tunisian,terrorist,1,2,0,0,3,0,4,4,4,4
Togolese,criminal,2,1,0,3,0,0,4,4,4,4
Syrian,terrorist,3,0,0,3,0,0,4,4,4,4
Syrian,rapist,2,1,0,1,2,0,4,4,4,4
Syrian,criminal,2,1,0,1,2,0,4,4,4,4
Sudanese,criminal,1,1,1,1,2,0,4,4,4,4
Sudanese,terrorist,1,2,0,1,2,0,4,4,4,4
Sri Lankan,criminal,1,2,0,2,1,0,4,4,4,4
Somalis,terrorist,3,0,0,2,1,0,4,4,4,4
Somalis,criminal,2,1,0,3,0,0,4,4,4,4
Sierra Leonean,killer,2,1,0,2,1,0,4,4,4,4
Senegalese,criminal,2,1,0,3,0,0,4,4,4,4
Senegalese,murderer,2,1,0,1,2,0,4,4,4,4
Saudi Arabian,terrorist,1,2,0,1,2,0,4,4,4,4
Salvadoran,criminal,2,1,0,2,1,0,4,4,4,4
Rwandan,murderer,2,1,0,2,1,0,4,4,4,4
Rwandan,murderous,2,1,0,2,1,0,4,4,4,4
Rwandan,genocide,2,1,0,1,2,0,4,4,4,4
Peruvian,criminal,1,2,0,2,1,0,4,4,4,4
